Freeze Package,Package Title,Decision Item,Source ID,Original Alignment,Freeze Status,Frozen Contract Ref,Requires Code,Requires Data Migration,Affected Documents,Test Obligation,Notes
PF-D2-01,AnalysisView Typed Filter Validation,FR-015,FR-015,MISMATCH,FROZEN,PF-D2-01 §1 typed filter compatibility matrix,YES,NO,"10,21,23,30,06,07",domain validator; API validation; Dataset logical-type compatibility; negative-path tests,
PF-D2-01,AnalysisView Typed Filter Validation,D21-005,D21-005,MISMATCH,FROZEN,PF-D2-01 §1 typed filter compatibility matrix,YES,NO,"10,21,23,30,06,07",domain validator; API validation; Dataset logical-type compatibility; negative-path tests,
PF-D2-02,Exploratory Handoff & Provenance,FR-020,FR-020,MISMATCH,FROZEN,PF-D2-02 §2 Explore state → AnalysisView draft mapping,YES,NO,"10,21,22,23,30,06,07",AnalysisView draft mapping; canonical AnalysisSpecification DRAFT creation; lineage; provenance reconstruction,
PF-D2-02,Exploratory Handoff & Provenance,FR-032,FR-032,MISMATCH,FROZEN,PF-D2-02 §3 canonical AnalysisSpecification DRAFT handoff,YES,NO,"10,21,22,23,30,06,07",AnalysisView draft mapping; canonical AnalysisSpecification DRAFT creation; lineage; provenance reconstruction,
PF-D2-03,Predictive Subgroup Evaluation,FR-067,FR-067,MISMATCH,FROZEN,PF-D2-03 §5 subgroup metric/output contract,YES,NO,"10,22,23,30,06,07",metric correctness; subgroup slicing; null group; bootstrap determinism; small/non-computable subgroup behavior,
PF-D2-03,Predictive Subgroup Evaluation,AR-016,AR-016,MISMATCH,FROZEN,PF-D2-03 §5 uncertainty/sample-size contract,YES,NO,"10,22,23,30,06,07",metric correctness; subgroup slicing; null group; bootstrap determinism; small/non-computable subgroup behavior,
PF-D2-09,"Frontend Deep Navigation, Action State & Accessibility",FR-108,FR-108,MISMATCH,FROZEN,PF-D2-09 §16 resource deep route,YES,NO,"10,22,23,30,06,07",deep-link/reload/history; resource focus; backend-authoritative actions; async states; keyboard/focus/non-color accessibility,
PF-D2-05,Command Idempotency & Retry-safe Artifact Commit,FR-114b,FR-114,MISMATCH,FROZEN,PF-D2-05 §8 command applicability inventory,YES,NO*,"10,21,22,23,30,06,07",command inventory; replay/conflict/concurrency; retry artifact de-duplication; crash-gap boundary,
PF-D2-04,Scientific Comparability & Exploratory-Reuse Guard,AR-017,AR-017,MISMATCH,FROZEN,PF-D2-04 §6 two-tier comparability contract,YES,NO,"10,21,22,23,30,06,07",semantic compatibility matrix; metric comparability; same-data warning; lineage/warning propagation,
PF-D2-06,Project Authorization & Sensitive Output Boundary,D10-005b,D10-005,MISMATCH,FROZEN,PF-D2-06 §11 project role/action matrix,YES,NO,"10,22,23,30,06,07",role/action matrix; project scoping; artifact/result/prediction sensitive access; legacy-route ownership resolution,
PF-D2-07,Canonical Lineage Completion,FR-008,FR-008,PARTIAL_MATCH,FROZEN,PF-D2-07 §13 canonical lineage projection,YES,NO,"10,21,22,23,30,06,07",context usage projection; Spec/Plan/Stage chain; causal upstream/downstream trace; no duplicate structural edges,
PF-D2-02,Exploratory Handoff & Provenance,FR-034,FR-034,PARTIAL_MATCH,FROZEN,PF-D2-02 §4 analytical provenance persistence,YES,NO,"10,21,22,23,30,06,07",AnalysisView draft mapping; canonical AnalysisSpecification DRAFT creation; lineage; provenance reconstruction,
PF-D2-04,Scientific Comparability & Exploratory-Reuse Guard,FR-051,FR-051,PARTIAL_MATCH,FROZEN,PF-D2-04 §7 exploratory-reuse warning,YES,NO,"10,21,22,23,30,06,07",semantic compatibility matrix; metric comparability; same-data warning; lineage/warning propagation,
PF-D2-07,Canonical Lineage Completion,FR-054,FR-054,PARTIAL_MATCH,FROZEN,PF-D2-07 §13 canonical causal lineage projection,YES,NO,"10,21,22,23,30,06,07",context usage projection; Spec/Plan/Stage chain; causal upstream/downstream trace; no duplicate structural edges,
