Decision Item,Source ID,Source Type,Original Alignment,Case,Original Statement,Decision Substatement,Decision,Requirement Status,Implementation Status,Delivery,Finding Group,Technical Debt Ref,Rationale,E4 Source Evidence,Audit Notes,Affected Documents
FR-002,FR-002,Requirement,MISMATCH,Case B,Projectにtopic、objective、decision contextおよびmemoを保持できる,Project / ResearchContextVersion responsibility ownership,D1,ACTIVE,IMPLEMENTED,BASELINE,domain_ownership_and_lifecycle,,Projectのcurrent field ownershipを正とし、decision_contextはResearchContextVersion側の正本として文書を訂正する。,src/ariadne/product/domain/project.py; product/persistence/orm_models.py; interfaces/web_api/routers/projects.py,Project entity/API has topic/objective/memo but no decision_context; decision_context belongs to ResearchContextVersion.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-015,FR-015,Requirement,MISMATCH,Case B,Analysis Viewの式と参照列を型付きSchemaで検証する,AnalysisView filter operator/value × column logical type compatibility validation,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,analysis_view_validation,,既存validatorの局所的なtyped-validation gapをENH-E5で補完する。,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,"AnalysisView validates shape/known columns/deterministic compilation, but filter operator/value logical-type compatibility is not enforced by the domain validator.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
D21-005,D21-005,Design,MISMATCH,Case B,filter operator/value type are checked against column logical type,AnalysisView typed filter constraint,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,analysis_view_validation,,FR-015と同一root decision。,analysis_view.py,Domain validator checks envelope/array uniqueness/derived names but not filter operator/value logical-type compatibility.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-020,FR-020,Requirement,MISMATCH,Case B,Exploreのfilter・chart状態からAnalysis View draftを作成できる,Explore filter/chart state → AnalysisView draft handoff,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,exploratory_workflow,,Exploratoryから再利用可能なAnalysisView draftへのworkflow continuityをENH-E5で成立させる。,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,No implemented Explore filter/chart-state -> AnalysisView draft conversion was found in the E4 frontend/application path.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-021,FR-021,Requirement,MISMATCH,Case B,機微列、利用制限および説明をcolumn metadataへ付与できる,Sensitive/use-restriction/description column metadata,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,security_privacy,TD-006,合理的な将来targetだが、data-use policy全体へ波及するためENH-E5では延期する。,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,Dataset column metadata is essentially logical type/schema; sensitive/use-restriction/description metadata was not implemented.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 21_logical_data_design.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-028,FR-028,Requirement,MISMATCH,Case B,correlation / association matrixを型に応じて生成できる,Correlation / association matrix operation,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,exploratory_workflow,TD-007,Exploratory analytical surface拡張でありENH-E5成立条件ではない。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,Exploratory operations do not include a correlation/association matrix operation.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-032,FR-032,Requirement,MISMATCH,Case B,探索ResultからCausalまたはPredictive Analysis Specificationのdraftを作成できる,Exploratory Result → Causal/Predictive AnalysisSpecification draft,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,exploratory_workflow,,Family間handoffをENH-E5で明示的に成立させる。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,No implemented Exploratory Result -> Causal/Predictive AnalysisSpecification draft conversion was confirmed.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-062,FR-062,Requirement,MISMATCH,Case B,validation partitionまたはcross-validationでhyperparameter selectionを行える,Automated hyperparameter selection,D3,DEFERRED,NOT_IMPLEMENTED,FUTURE,predictive_scientific,TD-008,独立したmodel selection capability拡張でありENH-E5では延期する。,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Predictive validation explicitly rejects non-empty automated tuning candidates; automated hyperparameter selection is not supported.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-067,FR-067,Requirement,MISMATCH,Case B,指定subgroupごとのperformanceとsample sizeを確認できる,Subgroup performance + sample size,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,subgroup_evaluation,,evaluation_spec.subgroupsをsemantic no-opにせず既存evaluate contractを完成させる。,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,"Subgroups are accepted in evaluation_spec, but subgroup performance computation/output was not found.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
AR-016,AR-016,Requirement,MISMATCH,Case B,subgroup metricはsample sizeと不確実性を併記する,Subgroup metric uncertainty,D2,ACTIVE,NOT_IMPLEMENTED,ENH-E5,subgroup_evaluation,,subgroup metricの誤解を防ぐためsample sizeとuncertaintyを一体で提供する。,family capability validation/runners; comparison/lineage/product closure services,Subgroup metrics/uncertainty output is not implemented.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
