ID,Area,Requirement,Priority,Classification,Status,E4_source_evidence,E4_doc_diagnosis,Notes
FR-001,Project / Context,ProjectをResearch Topicの権限・来歴境界として作成、更新、archiveできる,MUST,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-002,Project / Context,Projectにtopic、objective、decision contextおよびmemoを保持できる,MUST,③-1,MISMATCH,src/ariadne/product/domain/project.py; product/persistence/orm_models.py; interfaces/web_api/routers/projects.py,Case B,Project entity/API has topic/objective/memo but no decision_context; decision_context belongs to ResearchContextVersion.
FR-003,Project / Context,Research Contextをversioned resourceとして作成し、過去Versionを上書きしない,MUST,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-004,Project / Context,Research Contextに複数のResearch QuestionとHypothesisを保持できる,MUST,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-005,Project / Context,Context間にREFINES、DERIVED_FROM、SUPERSEDES、RELATED_TO relationを設定できる,SHOULD,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-006,Project / Context,Analysis Specificationは一つのResearch Context Versionを参照する,MUST,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-007,Project / Context,Executionは受付時のResearch Context snapshotとhashを保持する,MUST,③-1,PARTIAL_MATCH,product/domain/analysis_specification.py; product/persistence/orm_models.py; workspace lifecycle/query services,Case B,"Execution persists analysis_spec_json/objective/rationale and snapshot hash, but a dedicated complete ResearchContext snapshot+hash contract was not confirmed."
FR-008,Project / Context,Contextの履歴、利用Analysisおよび関連Resultを確認できる,MUST,③-1,PARTIAL_MATCH,product/domain/analysis_specification.py; product/persistence/orm_models.py; workspace lifecycle/query services,Case B,Context usage covers AnalysisSpecification plus historical/compatibility family execution/result projections; it is not a complete canonical Execution/Result usage index.
FR-009,Project / Context,ARCHIVED Projectでは新規Executionを受け付けず、既存Resultを保持する,MUST,③-1,MATCH,E4 implementation source/tests,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-010,Data / View,CSVまたはParquetをDataset Versionとして不変登録する,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-011,Data / View,Dataset Versionにcontent hash、schema、row count、column count、基本profileを保存する,MUST,③-1,PARTIAL_MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,Case B,"DatasetVersion stores profile_summary_json, but registration computes schema/row/column counts and does not compute the required basic profile."
FR-012,Data / View,Dataset previewとcolumn metadataを権限内で取得できる,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-013,Data / View,同一Dataset系列に複数Versionを登録し、Executionが参照Versionを固定する,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-014,Data / View,Analysis Viewにrow filter、column selection、derived column、missing policy、time cutoffを定義する,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-015,Data / View,Analysis Viewの式と参照列を型付きSchemaで検証する,MUST,③-1,MISMATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,Case B,"AnalysisView validates shape/known columns/deterministic compilation, but filter operator/value logical-type compatibility is not enforced by the domain validator."
FR-016,Data / View,固定済みAnalysis Viewを上書きせず、変更時は新Versionを作成する,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-017,Data / View,Analysis Viewからsource Dataset Versionと生成条件へ遡れる,MUST,③-1,MATCH,product/domain/analysis_view.py; interfaces/web_api/routers/dataset_versions.py; exploratory/view compiler; frontend,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
