ID,Document,Section,Assertion,Classification,Status,E4_source_evidence,E4_doc_diagnosis,Notes
D10-001,10,8.1 Project state,ACTIVE -> ARCHIVED; no restore contract,③-1,MATCH,src/ariadne/product/domain/project.py; persistence/orm_models.py,,Project entity and ORM expose ACTIVE/ARCHIVED and archive transition.
D10-002,10,8.2 Versioned Resource,DRAFT -> FIXED; FIXED immutable,③-1,MATCH,research_context.py; analysis_view.py; analysis_specification.py,,Versioned resources enforce FIXED immutability.
D10-003,10,8.3 Execution state,QUEUED/RUNNING/SUCCEEDED/FAILED/CANCELLED and retry,③-1,MATCH,product/domain/execution.py; persistence/repositories.py,,Execution lifecycle includes cancel and retry paths.
D10-004,10,8.4 Stage Execution,Stage state diagram is complete,③-1,MISMATCH,product/domain/stage_execution.py; persistence/orm_models.py,Case B,Document omits CANCELLED transitions that implementation supports from PENDING/READY/RUNNING.
D10-005,10,9 Permissions,read/write/execute/Operator permission taxonomy is the implemented authorization model,③-1,MISMATCH,product/application/product_closure_service.py; web routers,Case B,Persisted Project roles are OWNER/EDITOR/VIEWER; no distinct execute/Operator role model exists and authorization is not uniformly applied to all routers.
D10-006,10,10 Retention/Audit,artifact deletion audit + general audit fields + retention contract are implemented,③-1,MISMATCH,persistence/orm_models.py; adapters/local_artifact_store.py; web/application services,Case B,"Annotation revision history exists, but no general AuditLog resource and no configurable retention/deletion audit contract exists; LocalArtifactStore.delete removes file directly."
D21-001,21,5.1 Project,Project fields/lifecycle,③-1,MATCH,project.py; orm_models.py,,Field set and lifecycle match current implementation.
D21-002,21,5.2 ResearchContextVersion,"ResearchContext fields, FIXED lifecycle and relation shape",③-1,MATCH,research_context.py; research_context service/ORM,,V5 corrected E4 overstatement about general cycle detection; current validation is reflected.
D21-003,21,5.3 DatasetVersion,DatasetVersion persistent field set,③-1,MATCH,orm_models.py; dataset_versions.py,,Field names were mechanically compared to ORM; profile_summary field exists but population is not claimed here.
D21-004,21,5.4.1 AnalysisView envelope,analysis-view/1 envelope shape,③-1,MATCH,analysis_view.py,,Envelope field set and structural validation match.
D21-005,21,5.4.2 AnalysisView constraint,filter operator/value type are checked against column logical type,③-1,MISMATCH,analysis_view.py,Case B,Domain validator checks envelope/array uniqueness/derived names but not filter operator/value logical-type compatibility.
